Src IP Addr,Fuzzers,Reconnaissance,Shellcode,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
10.40.170.2,0,0,0,0,0,75,0,0,0,0
10.40.182.1,0,0,0,0,0,137,0,0,0,0
10.40.182.3,0,0,0,0,0,76,0,0,0,0
10.40.182.6,0,0,0,0,0,421,0,0,0,0
10.40.85.1,0,0,0,0,0,135,0,0,0,0
10.40.85.10,0,0,0,0,0,95,0,0,0,0
10.40.85.30,0,0,0,0,0,72,0,0,0,0
149.171.126.0,0,0,0,0,0,1,0,0,0,0
149.171.126.1,0,0,0,0,0,1,0,0,0,0
149.171.126.12,0,0,0,0,0,10482,0,0,0,0
149.171.126.14,0,0,0,0,0,1,0,0,0,0
149.171.126.15,0,0,0,0,0,3,0,0,0,0
149.171.126.16,0,0,0,0,0,1,0,0,0,0
149.171.126.17,0,0,0,0,0,2,0,0,0,0
149.171.126.18,0,0,0,0,0,2,0,0,0,0
149.171.126.2,0,0,0,0,0,2,0,0,0,0
149.171.126.5,0,0,0,0,0,2,0,0,0,0
149.171.126.6,0,0,0,0,0,2,0,0,0,0
175.45.176.0,599,508,22,250,261,614,2106,2345,11409,4
175.45.176.1,320,265,38,3,14,716,120,707,78,4
175.45.176.2,400,228,33,1,6,544,95,571,81,4
175.45.176.3,260,260,32,3,9,1217,107,603,98,5
59.166.0.0,0,0,0,0,0,8572,0,0,0,0
59.166.0.1,0,0,0,0,0,8531,0,0,0,0
59.166.0.2,0,0,0,0,0,8653,0,0,0,0
59.166.0.3,0,0,0,0,0,8524,0,0,0,0
59.166.0.4,0,0,0,0,0,8457,0,0,0,0
59.166.0.5,0,0,0,0,0,8891,0,0,0,0
59.166.0.6,0,0,0,0,0,8214,0,0,0,0
59.166.0.7,0,0,0,0,0,8201,0,0,0,0
59.166.0.8,0,0,0,0,0,8309,0,0,0,0
59.166.0.9,0,0,0,0,0,8272,0,0,0,0